id	effectiveTime	active	moduleId	refsetId	referencedComponentId	attributeDescription	attributeType	attributeOrder
0daa9880-5875-5de0-9650-21fac667afcb	20020131	1	900000000000207008	900000000000456007	900000000000509007	900000000000510002	900000000000462002	0
19cd20bd-2841-51b5-a574-05ffb2f3f5a4	20020131	1	900000000000207008	900000000000456007	900000000000508004	900000000000510002	900000000000462002	0
1e14df6c-7b2b-51ca-a4b5-ade4ac2ef4ce	20140901	1	449080006	900000000000456007	6011000124106	447634004	900000000000461009	7
2a48ff52-5c41-5d0b-a834-ff3d92c18f4e	20020131	1	900000000000207008	900000000000456007	900000000000523009	900000000000532006	900000000000460005	0
2b8c66d0-b13d-54c9-a506-7eb506e012c5	20020131	1	900000000000207008	900000000000456007	447563008	900000000000505001	900000000000465000	5
2d37366b-f541-5df6-92a7-ca3add7a79bc	20020131	1	900000000000207008	900000000000456007	447563008	900000000000503008	900000000000465000	3
326ecf61-21bc-5862-af0d-97cb1b559a60	20020131	1	900000000000207008	900000000000456007	900000000000522004	900000000000532006	900000000000460005	0
359ed728-c2cc-5c98-bb19-697a0fc6d270	20020131	1	900000000000207008	900000000000456007	447563008	900000000000501005	900000000000478000	1
3766b993-ccae-50da-935f-6fb5af9687aa	20020131	1	900000000000207008	900000000000456007	900000000000527005	900000000000532006	900000000000460005	0
37c34325-8f10-5bdc-86fc-62e38b706988	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000535008	900000000000461009	0
402c81ee-6eae-5dd3-850d-3aa331a340c2	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000537000	900000000000475002	2
427f5066-449a-5879-9eb7-274e0b6177ce	20140901	1	449080006	900000000000456007	6011000124106	900000000000500006	900000000000461009	0
45f73a4a-c3f6-4fff-b8dc-3cab5eac573e	20140731	1	900000000000207008	900000000000456007	467614008	900000000000500006	900000000000461009	0
50e6704f-dcab-5273-a2a0-e0a8d87763be	20020131	1	900000000000207008	900000000000456007	900000000000508004	900000000000511003	900000000000461009	1
5217049b-98b9-513c-a69d-a10b313ff53c	20020131	1	900000000000207008	900000000000456007	900000000000523009	900000000000533001	900000000000460005	1
562c6bd1-d523-51a8-8f35-8c9f3f56a37e	20020131	1	900000000000207008	900000000000456007	900000000000456007	900000000000479008	900000000000478000	3
576ed8c3-1227-5489-b782-760a3b729b94	20020131	1	900000000000207008	900000000000456007	447563008	447247004	900000000000461009	6
57c08f90-d110-51d7-9866-687ea59213b4	20020131	1	900000000000207008	900000000000456007	446608001	900000000000499002	900000000000465000	1
587d6443-f2ae-5804-a0b0-fe7303572b79	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000536009	900000000000475002	1
64517213-f0ab-5430-b6d3-d9b647e80ddb	20020131	1	900000000000207008	900000000000456007	900000000000526001	900000000000533001	900000000000460005	1
