id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2884458015	20030731	1	900000000000207008	125671007	en	900000000000550004	Disruption of continuity of tissue, not necessarily due to external forces; may be due to weakness in the tissue or excessive internal pressures	900000000000017005
2884459011	20030731	1	900000000000207008	127062003	en	900000000000550004	Peripheral blood red cell count above the normal range	900000000000017005
2884464010	20030731	1	900000000000207008	24184005	en	900000000000550004	A finding of increased blood pressure; not necessarily hypertensive disorder	900000000000017005
2884465011	20090131	1	900000000000207008	129152004	en	900000000000550004	Procedure on back including back of neck.	900000000000017005
2884468013	20030731	1	900000000000207008	26386000	en	900000000000550004	The eye cavity that contains the vitreous	900000000000017005
2884471017	20030731	1	900000000000207008	128489003	en	900000000000550004	Fine granular particles of rock or similar material	900000000000017005
2884481018	20030731	1	900000000000207008	14766002	en	900000000000550004	Extraction using negative pressure	900000000000017005
2884483015	20030731	1	900000000000207008	128419007	en	900000000000550004	Deposition of mineral in normally non mineralized tissue	900000000000017005
2884484014	20030731	1	900000000000207008	16076005	en	900000000000550004	A legal order to dispense and possibly prepare a substance or physical object	900000000000017005
2884485010	20100131	1	900000000000207008	13810000	en	900000000000550004	Dislocation present at birth	900000000000017005
2884489016	20030731	1	900000000000207008	14734007	en	900000000000550004	Procedure related to the administrative aspects of health care, including admission, discharge, transfer, disposition, referral, business, legal, financial, quality review, peer review, data reporting, notification, and so forth	900000000000017005
2884496019	20030731	1	900000000000207008	128105004	en	900000000000550004	Includes true von Willebrand disease with mutation at the VWF locus, as well as mimicking disorders with other mutations (pseudo VWD) and acquired von Willebrand syndrome	900000000000017005
2884502013	20030731	1	900000000000207008	34896006	en	900000000000550004	Making a cut in something	900000000000017005
2884512018	20030731	1	900000000000207008	18115005	en	900000000000550004	Deposition of calcium in normally non calcified tissue	900000000000017005
2884518019	20030731	1	900000000000207008	19130008	en	900000000000550004	A structure damaged by an external force	900000000000017005
2884521017	20030731	1	900000000000207008	27925004	en	900000000000550004	A 1 to 5 cm firm lesion raised above the surface of the surrounding skin; differs from a papule only in size	900000000000017005
2884525014	20090731	1	900000000000207008	2704003	en	900000000000550004	Any disease of sudden onset AND/OR short duration	900000000000017005
2884541010	20030731	1	900000000000207008	30021000	en	900000000000550004	Lower extremity from knee to ankle	900000000000017005
2884546017	20030731	1	900000000000207008	29836001	en	900000000000550004	The body part defined by the hip joint and surrounding structures, including the region from the iliac crest to the thigh	900000000000017005
2884551011	20090131	1	900000000000207008	33308003	en	900000000000550004	Disorder of back including back of neck.	900000000000017005
2884553014	20030731	1	900000000000207008	32485007	en	900000000000550004	Performance of the steps necessary to admit a patient to a hospital	900000000000017005
2884556018	20030731	1	900000000000207008	40983000	en	900000000000550004	Upper extremity between shoulder and elbow	900000000000017005
2884564012	20030731	1	900000000000207008	51289009	en	900000000000550004	Entire digestive tract including mouth, esophagus, stomach, and intestines	900000000000017005
2884567017	20030731	1	900000000000207008	35764002	en	900000000000550004	The four ventricles of the brain, including the two lateral ventricles, the third ventricle, and the fourth ventricle	900000000000017005
2884568010	20030731	1	900000000000207008	39250009	en	900000000000550004	A removal of an anatomic or pathologic structure in entirety without breakage	900000000000017005
2884569019	20030731	1	900000000000207008	36576007	en	900000000000550004	An injection that is continuous	900000000000017005
2884583017	20030731	1	900000000000207008	4365001	en	900000000000550004	Restoring, to the extent possible, the natural anatomical structure	900000000000017005
2884597013	20030731	1	900000000000207008	49549006	en	900000000000550004	The eye, ocular adnexa, afferent visual pathways, efferent visual pathways, and pupil innervation pathways	900000000000017005
2884600014	20030731	1	900000000000207008	48537004	en	900000000000550004	A construction of a shunt using either biologic or synthetic material	900000000000017005
2884607012	20030731	1	900000000000207008	107724000	en	900000000000550004	Performance of the steps necessary to transfer a patient between locations of care delivery	900000000000017005
2884609010	20120731	0	900000000000207008	107733003	en	900000000000550004	Introduction of object AND/OR substance into or onto body, including injection, implantation, infusion, perfusion, transfusion, irrigation, instillation, insertion,  placement, replacement, packing, intubation, catheterization, cannulation	900000000000017005
2884613015	20030731	1	900000000000207008	107727007	en	900000000000550004	An administrative procedure that involves a medical record chart	900000000000017005
2884629011	20050131	1	900000000000207008	246464006	en	900000000000550004	Any function or property that is not mainly morphologic or structural, including both measurable and observable features and physiologic actions	900000000000017005
2884632014	20030731	1	900000000000207008	112695004	en	900000000000550004	A repair that unites structures	900000000000017005
